number;picture;name;pack;rarity
1;res://images/promo_a/;Potion;Shop;
2;res://images/promo_a/;X Speed;Shop;
3;res://images/promo_a/;Hand Scope;Shop;
4;res://images/promo_a/;Pokedex;Shop;
5;res://images/promo_a/;Poke Ball;Shop;
6;res://images/promo_a/;Red Card;Shop;
7;res://images/promo_a/;Professor's Reseach;Shop;
8;res://images/promo_a/;MissingNo;???;
9;res://images/promo_a/;Pikachu;Shop;
10;res://images/promo_a/;Mewtwo;Mission;
11;res://images/promo_a/;Chansey;WonderPick;
12;res://images/promo_a/;Meowth;WonderPick;
13;res://images/promo_a/;Butterfree;Event;
14;res://images/promo_a/;Lapras ex;Event;
15;res://images/promo_a/;Pikachu;Event;
16;res://images/promo_a/;Clefairy;Event;
17;res://images/promo_a/;Mankey;Event;
18;res://images/promo_a/;Venusaur;Event;
19;res://images/promo_a/;Greninja;Event;
20;res://images/promo_a/;Haunter;Event;
21;res://images/promo_a/;Onix;Event;
22;res://images/promo_a/;Jigglypuff;Event;
23;res://images/promo_a/;Bulbasaur;Event;
24;res://images/promo_a/;Magnemite;Event;
25;res://images/promo_a/;Moltres ex;Event;
26;res://images/promo_a/;Pikachu;Event;
27;res://images/promo_a/;Snivy;Event;
28;res://images/promo_a/;Volcarona;Event;
29;res://images/promo_a/;Blastoise;Event;
30;res://images/promo_a/;Eevee;Event;
31;res://images/promo_a/;Cinccino;Event;
32;res://images/promo_a/;Charmander;Event;
33;res://images/promo_a/;Squirtle;Event;
